"Edit Profile";"Edit Profile"
"AFL";"AFL (Aussie Rules)"
"Alpine";"Alpine Skiing"
"Archery";"Archery"
"Athletics";"Athletics"
"AutoS";"Auto Sport"
"Badminton";"Badminton"
"Baseball";"Baseball"
"Basketball";"Basketball"
"Beach_Volleyball";"Beach Volleyball"
"Biathlon";"Biathlon"
"BMX";"BMX"
"Bobsleigh";"Bobsleigh"
"Body_Building";"Body Building"
"Boxing";"Boxing"
"Boxing";"Boxing"
"Canoe_Slalom";"Canoe Slalom"
"Canoe_Sprint";"Canoe Sprint"
"Cricket";"Cricket"
"Cross_Country_Running";"Cross Country Running"
"Cross_Country_Skiing";"Cross Country Skiing"
"Curling";"Curling"
"Cycling_Road";"Cycling Road"
"Cycling_Track";"Cycling Track"
"Dance_Contemporary";"Dance / Contemporary"
"Dance_Freestyle";"Dance / Freestyle"
"Dance_Latin";"Dance / Latin"
"Dance_Ballet";"Dance \ Ballet"
"Darts";"Darts"
"Diving";"Diving"
"Equestrian_Dressage";"Equestrian / Dressage"
"Equestrian_Eventing";"Equestrian / Eventing"
"Equestrian_Jumping";"Equestrian / Jumping"
"Fencing";"Fencing"
"Figure_Skating";"Figure Skating"
"Fitness_Health";"Fitness Health"
"Fitness_Instructors";"Fitness Instructors"
"Football_Soccer";"Football (Soccer)"
"Freestyle_Skiing";"Freestyle Skiing"
"Go_Karting";"Go Karting"
"Golf";"Golf"
"Gymnastics_Artistic";"Gymnastics Artistic"
"Gymnastics_Rhythmic";"Gymnastics Rhythmic"
"Handball";"Handball"
"Hockey";"Hockey"
"Ice_Hockey";"Ice Hockey"
"Judo";"Judo"
"Karate";"Karate"
"Kart_Racing";"Kart Racing"
"Kick_Boxing";"Kick Boxing"
"Kite_Surfing";"Kite Surfing"
"Lawn_Bowls";"Lawn Bowls"
"Luge";"Luge"
"Modern_Pentathlon";"Modern Pentathlon"
"Motor_Boat_Racing";"Motor Boat Racing"
"Motor_Cycle_Racing";"Motor Cycle Racing"
"Mountain_Bike";"Mountain Bike"
"Nordic_Combined";"Nordic Combined"
"Orienteering";"Orienteering"
"Pool";"Pool"
"Rowing";"Rowing"
"Rugby_League";"Rugby League"
"Rugby_Union";"Rugby Union"
"Running";"Running"
"Sailing";"Sailing"
"Shooting";"Shooting"
"Short_Track_Speed_Skating";"Short Track Speed Skating"
"Skeleton";"Skeleton"
"Ski_Jumping";"Ski Jumping"
"Snooker";"Snooker"
"Snowboard";"Snowboard"
"Softball";"Softball"
"Speed_Skating";"Speed Skating"
"Speedway_Racing";"Speedway Racing"
"Stand Up Paddle Boarding":"Stand Up Paddle Boarding"
"Surf_Lifesaving";"Surf Lifesaving"
"Surfing";"Surfing"
"Swimming";"Swimming"
"Synchronised_Swimming";"Synchronised Swimming"
"Table_Tennis";"Table Tennis"
"Taekwondo";"Taekwondo"
"Ten_Pin_Bowling";"Ten Pin Bowling"
"Tennis";"Tennis"
"Touch_Rugby";"Touch Rugby"
"Trampoline";"Trampoline"
"Triathlon";"Triathlon"
"Volley_Ball";"Volley Ball"
"Walking";"Walking"
"Water_Polo";"Water Polo"
"Weightlifting";"Weightlifting"
"Wrestling_Freestyle";"Wrestling Freestyle"
"Wrestling_Greco-Roman";"Wrestling Greco-Roman"