"Delete Link?";"Delete Link?"
"Are you sure that you want to delete this link? It will not be recoverable after being deleted.";"Are you sure that you want to delete this link? It will not be recoverable after being deleted."
"Report Post";"Report Post"
"Report wrong post in a topic to admin";"Report wrong post in a topic to admin"

"Group";"Circle"
"Groups";"Circles"
"%s topic";"%s topic";"%s topics"
"View All Groups";"View All Circles"
"group";"circle";"circles"
"%s group";"%s circle";"%s circles"
"Tags (Keywords)";"Tags (Keywords)"
"This group has %s member.";"This circle has %s member.";"This circle has %s members."
"Choose the activity action types that you want to public on the group activity.";"Choose the activity action types that you want to public on the circle activity."
"Public Activities";"Public Activities"
"Choose All Activities";"Choose All Activities"
"No links have been added in this group yet.";"No links have been added in this circle yet."
"Currently, there are no members you can invite.";"Currently, there are no members you can invite."

"Currently, there are no friends that you can invite.";"Currently, there are no friends that you can invite."
"No albums have been uploaded to this group yet.";"No albums have been uploaded to this circle yet."
"If the person you invited decide to join, he/she will be automatically added to your group.";"If the person you invited decide to join, he/she will be automatically added to your circle.";"If the persons you invited decide to join, they will be automatically added to your circle."
"Invitation Sent";"Invitation Sent";"Invitations Sent";

"You must be a member of group";"You must be a member of circle"
"before you can join this group.";"before you can join this circle."
"Parent Group";"Parent Circle"

"Delete Group:";"Delete Circle:"
"Create New Group";"Create New Circle"
"Edit Group";"Edit Circle"
"Delete Group";"Delete Circle"
"Join Group";"Join Circle"
"Leave Group";"Leave Circle"
"Ignored";"Ignored"

"%s member";"%s member";"%s members"
"led by ";"led by "
"led by %1$s";"led by %1$s"
"%d member(s)";"%d member(s)"

"You have no friends you can invite.";"You have no friends you can invite."
"You are already a member of this group.";"You are already a member of this circle."
"You must be a member of group.";"You must be a member of circle."
"You have no users you can invite.";"You have no users you can invite."

"Delete the selected report(s)?";"Delete the selected report(s)?"
"Are you sure that you want to delete the %d report(s)? It will not be recoverable after being deleted.";"Are you sure that you want to delete the %d report(s)? It will not be recoverable after being deleted."
"Delete the selected report(s)?";"Delete the selected report(s)?"
"Please select a report to delete.";"Please select a report to delete."
"Go Back";"Go Back"

"Tip: %1$sClick here%2$s to create the first group!";"Tip: %1$sClick here%2$s to create the first circle!"
"Tip: %1$sClick here%2$s to create a group or %3$sbrowse%2$s for groups to join!";"Tip: %1$sClick here%2$s to create a circle or %3$sbrowse%2$s for circles to join!"

"Close";"Close"
"You have no friends you can invite.";"You have no friends you can invite."

"&#187; Photos";"&#187; Photos"
"Group Photos";"Circle Photos"
"&#187;";"&#187;"
"Photos";"Photos"

"ADD TAG";"ADD TAG"
"Type a tag or select a name from the list.";"Type a tag or select a name from the list."

"Delete Report?";"Delete Report?"
"Are you sure that you want to delete this report? It will not be recoverable after being deleted.";"Are you sure that you want to delete this report? It will not be recoverable after being deleted."


"Photo";"Photo"
"of";"of"

"Next";"Next"
"Prev";"Prev"

"By";"By"
"Tagged:";"Tagged:"
"Added";"Added"

"Add Tag";"Add Tag"

"Quote";"Quote"
"Edit";"Edit"
"Delete";"Delete"
"Share";"Share"
"Report";"Report"
"Make Profile Photo";"Make Profile Photo"

"%s total view";"%s total view";"%s total views"
"%s total member";"%s total member";"%s total members"
"Last updated %s";"Last updated %s"
"%s advgroup invite";"%s circle invitation";"%s circle invitations"

"This group has %s member waiting for approval or waiting for an invite response.";"This circle has %s member waiting for approval or waiting for an invite response.";"This circle has %s members waiting for approval or waiting for an invite response."

"&#187; Discussions";"&#187; Discussions"
"Discussions";"Discussions"
"Back to Group";"Back to Circle"
"reply";"reply";"replies"

"What's New";"What's New"
"Last Post";"Last Post"

"Back to Topics";"Back to Topics"
"Post Reply";"Post Reply"
"Make Sticky";"Make Sticky"
"Remove Sticky";"Remove Sticky"
"Open";"Open"
"Rename";"Rename"
"This topic has been closed.";"This topic has been closed."

"Join Group";"Join Circle"
"or";"or"
"ignore request";"ignore request"

"Post New Topic";"Post New Topic"
"View All";"View All"
"These settings affect all members in your community.";"These settings affect all members in your community."
"Groups Per Page";"Circles Per Page"
"How many groups will be shown per page? (Enter a number between 1 and 999)";"How many circles will be shown per page? (Enter a number between 1 and 999)"
"Maximum Poll Options";"Maximum Poll Options"
"Change Poll Vote?";"Change Poll Vote?"
"How many possible poll answers do you want to permit in a group? (Enter a number between 1 and 100)";"How many possible poll answers do you want to permit in a circle? (Enter a number between 1 and 100)"
"Do you want to permit the group members to change their poll vote in their group?.";"Do you want to permit the circle members to change their poll vote in their circle?."
"Last Post";"Last Post"
"Yes, group members can change their vote.";"Yes, circle members can change their vote."
"No, group members cannot change their vote.";"No, circle members cannot change their vote."
"No topics have been posted in this group yet.";"No topics have been posted in this circle yet."
"total views";"total views"
"total members";"total members"
"last updated";"last updated"

"Add Friend";"Add Friend"
"Remove Friend";"Remove Friend"
"Remove Member";"Remove Member"
"Approve Request";"Approve Request"
"Reject Request";"Reject Request"
"Cancel Invite";"Cancel Invite"
"Demote Officer";"Demote Officer"
"Make Officer";"Make Officer"

"Previous";"Previous"
"Next";"Next"
"Closed";"Closed"
"view";"view"
"delete";"delete"

"No photos have been uploaded to this group yet.";"No photos have been uploaded to this circle yet."
"By";"By"

"View All Photos";"View All Photos"
"Upload Photos";"Upload Photos"

"The image you selected was too large.";"The image you selected was too large."
"Your changes have been saved.";"Your changes have been saved."

"You are now a member of this group.";"You are now a member of this circle."
"You have successfully left this group.";"You have successfully left this circle."

"Group membership request sent";"Your circle membership request has been sent."
"Group membership request cancelled.";"Your circle membership request has been cancelled."

"Are you sure you want to leave this group? You will leave all it\'s sub-groups too.";"Are you sure you want to leave this circle? You will leave all it\'s sub-circles too."
"Are you sure you want to remove this member from the group? It will remove this member from all it 's sub-groups too.";"Are you sure you want to remove this member from the circle? It will remove this member from all it 's sub-circles too."
"Cannot add a non-member as an officer";"Cannot add a non-member as an officer"
"Cannot remove a non-member as an officer";"Cannot remove a non-member as an officer"

"Invalid Data";"Invalid Data"
"Invalid Method";"Invalid Method"

"You have accepted the invite to the group %s";"You have accepted the invite to the circle %s"
"You have ignored the invite to the group %s";"You have ignored the invite to the circle %s"

"Member Promoted";"This member has been successfully promoted."
"Member Demoted";"This member has been successfully demoted."
"Group member removed.";"This member has been successfully removed from the circle."
"Members invited";"The selected members have been successfully invited."
"Group invite canceled.";"This invitation has been successfully canceled for this user."
"Can not invite a member of group";"Can not invite a member of circle"

"Invite Member";"Invite Member"
"Are you sure you want to resend a invitation to this member?";"Are you sure you want to resend a invitation to this member?"

"The report will be sent to admin.";"The report will be sent to admin."

"Group request approved";"This member's circle request has been approved."
"Member title changed";"This member's title has been successfully changed."

"Changes saved";"Your changes have been saved."
"Photo deleted";"The photo has been successfully deleted."

"Max file size limit exceeded (probably).";"Max file size limit exceeded (probably)."
"Invalid request method";"Invalid request method"
"No file";"No file"
"Invalid Upload";"Invalid Upload"
"An error occurred.";"An error occurred"

"Post deleted.";"The selected post has been deleted."
"This has been closed for posting.";"This topic is closed for posting."
"Topic renamed.";"The selected topic has been successfully renamed."
"Topic deleted.";"The selected topic has been deleted."

"All My Groups";"All My Circles"
"Only Groups I Lead";"Only Circles I Lead"
"Search:";"Search:"
"View:";"View:"

"Accept Group Invitation";"Accept Circle Invitation"
"Would you like to join this group?";"Would you like to join this circle?"
"Join Group";"Join Circle"
"Cancel";"Cancel"

"Approve Group Membership Request";"Approve Circle Membership Request"
"Would you like to approve the request for membership in this group?";"Would you like to approve the request for membership in this circle?"
"Approve Request";"Approve Request"

"Cancel Group Membership Request";"Cancel Circle Membership Request"
"Would you like to cancel your request for membership in this group?";"Would you like to cancel your request for membership in this circle?"
"Cancel Request";"Cancel Request"

"Demote Member";"Demote Member"
"Are you sure you want to demote this member from officer?";"Are you sure you want to demote this member from officer?"

"Edit Member Title";"Edit Member Title"
"Enter a special title for this person.";"Enter a special title for this person."
"Title";"Title"
"Save Changes";"Save Changes"

"Join Group";"Join Circle"
"Would you like to join this group?";"Would you like to join this circle?"

"Leave Group";"Leave Circle"
"Are you sure you want to leave this group?";"Are you sure you want to leave this circle?"

"Report Group";"Report Circle"
"Report wrong activities of group to admin";"Report wrong activities of circle to admin"

"(Max 256 characters)";"(Max 256 characters)"
"URL Link";"URL Link"
"Post Useful Link";"Post Useful Link"
"Group Activities";"Circle Activities"
"Invite By Email";"Invite By Email"
"Invite All Users";"Invite All Users"
"Invite Friends";"Invite Friends"
"Invitations Management";"Invitations Management"

"Promote Member";"Promote Member"
"Are you sure you want to promote this member to officer?";"Are you sure you want to promote this member to officer?"

"Reject Group Invitation";"Reject Circle Invitation"
"Would you like to reject the invitation to this group?";"Would you like to reject the invitation to this circle?"
"Reject Invitation";"Reject Invitation"

"Are you sure you want to remove this member from the group?";"Are you sure you want to remove this member from the circle?"

"Request Group Membership";"Request Circle Membership"
"Would you like to request membership in this group?";"Would you like to request membership in this circle?"
"Send Request";"Send Request"

"Delete Group Photo";"Delete Circle Photo"
"Are you sure you want to delete this photo?";"Are you sure you want to delete this photo?"
"Delete Photo";"Delete Photo"
"User";"User"
"Invite Selected";"Invite Selected"
"Resend Invite";"Resend Invite"
"Not Reply";"Not Reply"
"Rejected / Ignored";"Rejected / Ignored"
"Not Replied";"Not Replied"

"Cancel Invitation";"Cancel Invitation"
"Would you like to cancel your invitation for member in this group?";"Would you like to cancel your invitation for member in this circle?"
"Resend Invitation(s)?";"Resend Invitation(s)?"
"Please select an user to resend invitation.";"Please select an user to resend invitation."
"This group don't have any invitations.";"This circle don't have any invitations."
"Are you sure you want to resend %d invitation(s) to  these members?";"Are you sure you want to resend %d invitation(s) to  these members?"

"This group has %s invitation waiting for resend.";"This circle has %s invitation waiting for resend.";"This circle has %s invitations waiting for resend."

"Edit Photo";"Edit Photo"
"Title";"Title"
"Description";"Description"

"Group Info";"Circle Info"
"Edit Group Details";"Edit Circle Details"
"Edit Group Style";"Edit Circle Style"
"Share Group";"Share Circle"
"Add Events";"Add Events"
"No events have been added to this group yet.";"No events have been added to this circle yet."

"Add New Photos";"Add New Photos"
"Choose photos on your computer to add to this album. (2MB maximum)";"Choose photos on your computer to add to this album. (2MB maximum)"
"Save Photos";"Save Photos"

"Reply";"Reply"
"Body";"Body"
"Delete Post";"Delete Post"
"Are you sure you want to delete this post?";"Are you sure you want to delete this post?"

"Edit Post";"Edit Post"

"Post Discussion Topic";"Post Discussion Topic"
"Message";"Message"

"Delete Topic";"Delete Topic"
"Are you sure you want to delete this topic?";"Are you sure you want to delete this topic?"

"Rename Topic";"Rename Topic"
"Are you sure you want to delete this group?";"Are you sure you want to delete this circle?"

"Group Name";"Circle Name"
"Profile Photo";"Profile Photo"
"Category";"Category"

"Include in search results?";"Include in search results?"
"Yes, include in search results.";"Yes, include in search results."
"No, hide from search results.";"No, hide from search results."

"Let members invite others?";"Let members invite others?"
"Yes, members can invite other people.";"Yes, members can invite other people."
"No, only officers can invite other people.";"No, only officers can invite other people."

"Approve members?";"Approve members?"
"When people try to join this group, should they be allowed to join immediately, or should they be forced to wait for approval?";"When people try to join this circle, should they be allowed to join immediately, or should they be forced to wait for approval?"
"New members can join immediately.";"New members can join immediately."
"New members must be approved.";"New members must be approved."

"View Privacy";"View Privacy"
"Who may see this group?";"Who may see this circle?"
"Everyone";"Everyone"
"Registered Members";"Registered Members"
"Members, Officers, and Owner";"Members, Officers, and Owner"

"Comment Privacy";"Comment Privacy"
"Who may post on this group's wall?";"Who may post on this circle's wall?"
"Members, Officers, and Owner";"Members, Officers, and Owner"
"Officers and Owner Only";"Officers and Owner Only"

"Photo Uploads";"Photo Uploads"
"Who may upload photos to this group?";"Who may upload photos to this circle?"
"Members, Officers, and Owner Only";"Members, Officers, and Owner Only"
"Officers and Owner Only";"Officers and Owner Only"

"Event Creation";"Event Creation"
"Who may create events for this group?";"Who may create events for this circle?"

"Invite Members";"Invite Members"
"Choose the people you want to invite to this group.";"Choose the people you want to invite to this circle."
"Members";"Members"
"Choose All";"Choose All"
"Send Invites";"Send Invites"

"Group Styles";"Circle Styles"
"Custom Group Styles";"Custom Circle Styles"
"You can change the colors, fonts, and styles of your group by adding CSS code below. The contents of the text area below will be output between <style> tags on your group.";"You can change the colors, fonts, and styles of your circle by adding CSS code below. The contents of the text area below will be output between <style> tags on your circle."

"%1$s has invited you to the group %2$s";"%1$s has invited you to the circle %2$s"

"This group has %1$s member.";"This circle has %1$s member.";"This circle has %1$s members."
"This group has %1$s member that matched the query ""%2$s"".";"This circle has %1$s member that matched the query ""%2$s"".";"This circle has %1$s members that matched the query ""%2$s""."

"See Waiting";"View invited users and users waiting for approval/rejection"
"View all approved members";"View all approved members"

"This group has %s member waiting approval or waiting for a invite response.";"This circle has %s member waiting approval or waiting for a invite response."
"Send me notifications when other members reply to this topic.";"Send me notifications when other members reply to this topic."

"ADMIN_ACTIVITY_TYPE_ADVGROUP_CREATE";"When a user (subject) creates a new circle (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_JOIN";"When a user (subject) joins a circle (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_PHOTO_UPLOAD";"When a user (subject) uploads a new photo to a circle (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_PROMOTE";"When a user (subject) is given officer status in a circle (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_TOPIC_CREATE";"When a user (subject) creates a new topic in a circle (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_TOPIC_REPLY";"When a user (subject) replies to a topic in a circle (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_POLL_NEW";"When a user (subject) creates a new poll in a circle (object)."

"_ACTIVITY_ACTIONTYPE_ADVGROUP_CREATE";"New circles"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_JOIN";"Joining a circle"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_PHOTO_UPLOAD";"Uploading a circle photo"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_ALBUM_UPLOAD";"Uploading a circle album"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_PROMOTE";"Circle promotions"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_TOPIC_CREATE";"Creating a circle discussion topic"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_TOPIC_REPLY";"Replying to a circle discussion topic"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_WIKI_CREATE";"Creating a new wiki page in circle"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_WIKI_MOVE";"Moving a wiki page in circle"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_WIKI_UPDATE";"Updating a wiki page in circle"

"ACTIVITY_TYPE_COMMENTED_ADVGROUP";"When someone comments on a circle I commented on."
"ACTIVITY_TYPE_COMMENT_ADVGROUP";"When someone comments on one of my circles."
"ACTIVITY_TYPE_LIKED_ADVGROUP";"When someone comments on a circle I liked."
"ACTIVITY_TYPE_LIKE_ADVGROUP";"When someone likes one of my circles."
"ACTIVITY_TYPE_ADVGROUP_APPROVE";"When someone requests to join a circle I created."
"ACTIVITY_TYPE_ADVGROUP_ACCEPTED";"When my request to join a circle is approved."
"ACTIVITY_TYPE_ADVGROUP_CREATE";"When a new circle is created."
"ACTIVITY_TYPE_ADVGROUP_DISCUSSION_REPLY";"When people reply to discussion topics that I've replied to."
"ACTIVITY_TYPE_ADVGROUP_DISCUSSION_RESPONSE";"When people reply to discussion topics that I create."
"ACTIVITY_TYPE_ADVGROUP_INVITE";"When I'm invited to join a circle."
"ACTIVITY_TYPE_ADVGROUP_JOIN";"When a new member joins a circle."
"ACTIVITY_TYPE_ADVGROUP_PHOTO_UPLOAD";"When a new photo is uploaded to a circle."
"ACTIVITY_TYPE_ADVGROUP_PROMOTE";"When I'm given officer status in a circle."
"ACTIVITY_TYPE_ADVGROUP_TOPIC_CREATE";"When a new circle topic is created."
"ACTIVITY_TYPE_ADVGROUP_TOPIC_REPLY";"When someone replies to a circle topic."


"These settings affect all members in your community.";"These settings affect all members in your community."
"GROUP_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."

"Allow  to manage Announcements of Groups?";"Allow  to manage Announcements of Circles?"
"Do you want to allow this user level to manage announcements of all groups?";"Do you want to allow this user level to manage announcements of all circles?"
"Yes, allow to manage announcemnents of all groups.";"Yes, allow to manage announcemnents of all circles."
"No, do not allow to manage announcemnents of any groups.";"No, do not allow to manage announcemnents of any circles."

"Allow Create Wiki Pages on Groups?";"Allow Create Wiki Pages on Circles?"
"Do you want to let members of this level create wiki pages on groups?";"Do you want to let members of this level create wiki pages on circles?"
"Yes, allow members to create wiki pages on groups.";"Yes, allow members to create wiki pages on circles."
"No, do not allow members to create wiki pages on groups.";"No, do not allow members to create wiki pages on circles."

"Wiki Page Creation Options";"Wiki Page Creation Options"

"Allow Viewing of Groups?";"Allow Viewing of Circles?"
"GROUP_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"Do you want to let users view circles? If set to no, some other settings on this page may not apply."
"No, do not allow groups to be viewed.";"No, do not allow circles to be viewed."
"Yes, allow viewing and subscription of groups.";"Yes, allow viewing and subscription of circles."
"Yes, allow members to view all groups, even private ones.";"Yes, allow members to view all circles, even private ones."

"Allow Creation of Groups?";"Allow Creation of Circles?"
"GROUP_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"Do you want to let users create circles? If set to no, some other settings on this page may not apply. This is useful if you want users to be able to view circles and manage their subscriptions, but only want certain levels to be able to create circles."
"No, do not allow groups to be created.";"No, do not allow circles to be created."
"Yes, allow creation of groups.";"Yes, allow creation of circles."

"Allow Editing of Groups?";"Allow Editing of Circles?"
"Do you want to let users edit groups?";"Do you want to let users edit circles?"
"Yes, allow members to edit everyone\'s groups.";"Yes, allow members to edit everyone\'s circles."
"No, do not allow groups to be edited.";"No, do not allow circles to be edited."
"Yes, allow  members to edit their own groups.";"Yes, allow  members to edit their own circles."
"Yes, allow members to edit everyone's groups.";"Yes, allow members to edit everyone's circles."

"Allow Create Sub Groups on Groups?";"Allow Create Sub Circles on Circles?"
"Do you want to let members of this level create sub groups on groups?";"Do you want to let members of this level create sub circles on circles?"
"Yes, allow members to create sub groups on groups.";"Yes, allow members to create sub circles on circles."
"No, do not allow members to create sub groups on groups.";"No, do not allow members to create sub circles on circles."

"Allow Create Videos on Groups?";"Allow Create Videos on Circles?"
"Do you want to let members of this level create videos on groups?";"Do you want to let members of this level create videos on circles?"
"Yes, allow members to create videos on groups.";"Yes, allow members to create videos on circles."
"No, do not allow members to create videos on groups.";"No, do not allow members to create videos on circles."

"Group Privacy";"Circle Privacy"
"GROUP_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can see their circle. If you do not check any options, everyone will be allowed to view circles."

"GROUP_FIELDS_VIEWS_SCRIPTS_ADMINFIELDS_DESCRIPTION";"Your members will be asked to provide some information about their circle information when creating a new circle. Create some circle questions that allow them to describe their circle in a way that relates to the theme of your community. To reorder the circle questions, click on their names and drag them up or down."

"Group Posting Options";"Circle Posting Options"
"GROUP_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can post to their circle discussions. If you do not check any options, everyone will be allowed to post."
"Registered Members";"Registered Members"
"Members, Officers, and Owner";"Members, Officers, and Owner"
"Officers and Owner Only";"Officers and Owner Only"
"Owner Only";"Owner Only"

"Photo Upload Options";"Photo Upload Options"
"GROUP_FORM_ADMIN_LEVEL_AUTHPHOTO_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can upload photos to their circles. If you do not check any options, all members will be allowed to upload."

"Event Creation Options";"Event Creation Options"
"GROUP_FORM_ADMIN_LEVEL_AUTHEVENT_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can create events in their circles. If you do not check any options, all members will be allowed to create events."

"Poll Creation Options";"Poll Creation Options"
"GROUP_FORM_ADMIN_LEVEL_AUTHPOLL_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can create polls in their circles. If you do not check any options, all members will be allowed to create polls."
"My Groups";"My Circles"

"Delete Group?";"Delete Circle?"
